code_2004,code_2013,Region
AA,КА,г. Киев
AB,КB,Винницкая область
AC,КC,Волынская область
AE,КE,Днепропетровская область
AH,КH,Донецкая область
AI,КI,Киевская область
AM,КM,Житомирская область
AO,КO,Закарпатская область
AP,КP,Запорожская область
AT,КT,Ивано-Франковская область
AX,KX,Харьковская область
BA,HA,Кировоградская область
BB,HB,Луганская область
BC,HC,Львовская область
BE,HE,Николаевская область
BH,HH,Одесская область
BI,HI,Полтавская область
BK,HK,Ровенская область
BM,HM,Сумская область
BO,HO,Тернопольская область
BT,HT,Херсонская область
BX,HX,Хмельницкая область
CA,IA,Черкасская область
CB,IB,Черниговская область
CE,IE,Черновицкая область